IMAGE 10514736 522047a5f8d6197ea0285227e581f3bce06e04ed23fb101af3dadc61b4f6fdd2
CRC VERIFIED 4550656/10514736 (1332.3s)
CRC VERIFIED 4554752/10514736 (1333.5s)
CRC VERIFIED 4558848/10514736 (1334.7s)
CRC VERIFIED 4562944/10514736 (1335.9s)
CRC VERIFIED 4567040/10514736 (1337.0s)
CRC VERIFIED 4571136/10514736 (1338.2s)
CRC VERIFIED 4575232/10514736 (1339.4s)
CRC VERIFIED 4579328/10514736 (1340.6s)
CRC VERIFIED 4583424/10514736 (1341.8s)
CRC VERIFIED 4587520/10514736 (1343.0s)
CRC VERIFIED 4591616/10514736 (1344.2s)
CRC VERIFIED 4595712/10514736 (1345.4s)
CRC VERIFIED 4599808/10514736 (1346.6s)
CRC VERIFIED 4603904/10514736 (1347.8s)
CRC VERIFIED 4608000/10514736 (1349.0s)
CRC VERIFIED 4612096/10514736 (1350.2s)
CRC VERIFIED 4616192/10514736 (1351.4s)
CRC VERIFIED 4620288/10514736 (1352.6s)
CRC VERIFIED 4624384/10514736 (1353.8s)
CRC VERIFIED 4628480/10514736 (1355.0s)
CRC VERIFIED 4632576/10514736 (1356.2s)
CRC VERIFIED 4636672/10514736 (1357.3s)
CRC VERIFIED 4640768/10514736 (1358.5s)
CRC VERIFIED 4644864/10514736 (1359.7s)
CRC VERIFIED 4648960/10514736 (1361.0s)
CRC VERIFIED 4653056/10514736 (1362.2s)
CRC VERIFIED 4657152/10514736 (1363.3s)
CRC VERIFIED 4661248/10514736 (1364.5s)
CRC VERIFIED 4665344/10514736 (1365.7s)
CRC VERIFIED 4669440/10514736 (1366.9s)
CRC VERIFIED 4673536/10514736 (1368.1s)
CRC VERIFIED 4677632/10514736 (1369.3s)
CRC VERIFIED 4681728/10514736 (1370.5s)
CRC VERIFIED 4685824/10514736 (1371.7s)
CRC VERIFIED 4689920/10514736 (1372.9s)
CRC VERIFIED 4694016/10514736 (1374.1s)
CRC VERIFIED 4698112/10514736 (1375.3s)
CRC VERIFIED 4702208/10514736 (1376.5s)
CRC VERIFIED 4706304/10514736 (1377.7s)
CRC VERIFIED 4710400/10514736 (1378.9s)
CRC VERIFIED 4714496/10514736 (1380.1s)
CRC VERIFIED 4718592/10514736 (1381.3s)
CRC VERIFIED 4722688/10514736 (1382.5s)
CRC VERIFIED 4726784/10514736 (1383.7s)
CRC VERIFIED 4730880/10514736 (1384.9s)
CRC VERIFIED 4734976/10514736 (1386.1s)
CRC VERIFIED 4739072/10514736 (1387.3s)
CRC VERIFIED 4743168/10514736 (1388.5s)
CRC VERIFIED 4747264/10514736 (1389.7s)
CRC VERIFIED 4751360/10514736 (1390.9s)
CRC VERIFIED 4755456/10514736 (1392.1s)
CRC VERIFIED 4759552/10514736 (1393.3s)
CRC VERIFIED 4763648/10514736 (1394.5s)
CRC VERIFIED 4767744/10514736 (1395.7s)
CRC VERIFIED 4771840/10514736 (1396.9s)
CRC VERIFIED 4775936/10514736 (1398.1s)
CRC VERIFIED 4780032/10514736 (1399.3s)
CRC VERIFIED 4784128/10514736 (1400.5s)
CRC VERIFIED 4788224/10514736 (1401.7s)
CRC VERIFIED 4792320/10514736 (1402.9s)
CRC VERIFIED 4796416/10514736 (1404.1s)
CRC VERIFIED 4800512/10514736 (1405.3s)
CRC VERIFIED 4804608/10514736 (1406.5s)
CRC VERIFIED 4808704/10514736 (1407.7s)
CRC VERIFIED 4812800/10514736 (1408.9s)
CRC VERIFIED 4816896/10514736 (1410.1s)
CRC VERIFIED 4820992/10514736 (1411.3s)
CRC VERIFIED 4825088/10514736 (1412.5s)
CRC VERIFIED 4829184/10514736 (1413.7s)
CRC VERIFIED 4833280/10514736 (1414.9s)
CRC VERIFIED 4837376/10514736 (1416.1s)
CRC VERIFIED 4841472/10514736 (1417.3s)
CRC VERIFIED 4845568/10514736 (1418.5s)
CRC VERIFIED 4849664/10514736 (1419.7s)
CRC VERIFIED 4853760/10514736 (1420.9s)
CRC VERIFIED 4857856/10514736 (1422.1s)
CRC VERIFIED 4861952/10514736 (1423.3s)
CRC VERIFIED 4866048/10514736 (1424.5s)
CRC VERIFIED 4870144/10514736 (1425.7s)
CRC VERIFIED 4874240/10514736 (1426.9s)
CRC VERIFIED 4878336/10514736 (1428.1s)
CRC VERIFIED 4882432/10514736 (1429.3s)
CRC VERIFIED 4886528/10514736 (1430.6s)
CRC VERIFIED 4890624/10514736 (1431.8s)
CRC VERIFIED 4894720/10514736 (1433.0s)
CRC VERIFIED 4898816/10514736 (1434.2s)
CRC VERIFIED 4902912/10514736 (1435.4s)
CRC VERIFIED 4907008/10514736 (1436.6s)
CRC VERIFIED 4911104/10514736 (1437.8s)
CRC VERIFIED 4915200/10514736 (1439.0s)
CRC VERIFIED 4919296/10514736 (1440.2s)
CRC VERIFIED 4923392/10514736 (1441.3s)
CRC VERIFIED 4927488/10514736 (1442.5s)
CRC VERIFIED 4931584/10514736 (1443.8s)
CRC VERIFIED 4935680/10514736 (1445.0s)
CRC VERIFIED 4939776/10514736 (1446.1s)
CRC VERIFIED 4943872/10514736 (1447.4s)
CRC VERIFIED 4947968/10514736 (1448.6s)
CRC VERIFIED 4952064/10514736 (1449.8s)
CRC VERIFIED 4956160/10514736 (1451.0s)
CRC VERIFIED 4960256/10514736 (1452.2s)
CRC VERIFIED 4964352/10514736 (1453.4s)
CRC VERIFIED 4968448/10514736 (1454.6s)
CRC VERIFIED 4972544/10514736 (1455.8s)
CRC VERIFIED 4976640/10514736 (1457.0s)
CRC VERIFIED 4980736/10514736 (1458.2s)
CRC VERIFIED 4984832/10514736 (1459.4s)
CRC VERIFIED 4988928/10514736 (1460.6s)
CRC VERIFIED 4993024/10514736 (1461.8s)
CRC VERIFIED 4997120/10514736 (1463.0s)
CRC VERIFIED 5001216/10514736 (1464.2s)
CRC VERIFIED 5005312/10514736 (1465.4s)
CRC VERIFIED 5009408/10514736 (1466.6s)
CRC VERIFIED 5013504/10514736 (1467.8s)
CRC VERIFIED 5017600/10514736 (1469.0s)
CRC VERIFIED 5021696/10514736 (1470.2s)
CRC VERIFIED 5025792/10514736 (1471.4s)
CRC VERIFIED 5029888/10514736 (1472.6s)
CRC VERIFIED 5033984/10514736 (1473.8s)
CRC VERIFIED 5038080/10514736 (1475.0s)
CRC VERIFIED 5042176/10514736 (1476.2s)
CRC VERIFIED 5046272/10514736 (1477.4s)
CRC VERIFIED 5050368/10514736 (1478.6s)
CRC VERIFIED 5054464/10514736 (1479.8s)
CRC VERIFIED 5058560/10514736 (1481.0s)
CRC VERIFIED 5062656/10514736 (1482.2s)
CRC VERIFIED 5066752/10514736 (1483.4s)
CRC VERIFIED 5070848/10514736 (1484.6s)
CRC VERIFIED 5074944/10514736 (1485.8s)
CRC VERIFIED 5079040/10514736 (1487.0s)
CRC VERIFIED 5083136/10514736 (1488.2s)
CRC VERIFIED 5087232/10514736 (1489.3s)
CRC VERIFIED 5091328/10514736 (1490.5s)
CRC VERIFIED 5095424/10514736 (1491.8s)
CRC VERIFIED 5099520/10514736 (1492.9s)
CRC VERIFIED 5103616/10514736 (1494.1s)
CRC VERIFIED 5107712/10514736 (1495.3s)
CRC VERIFIED 5111808/10514736 (1496.5s)
CRC VERIFIED 5115904/10514736 (1497.7s)
CRC VERIFIED 5120000/10514736 (1498.9s)
CRC VERIFIED 5124096/10514736 (1500.1s)
CRC VERIFIED 5128192/10514736 (1501.3s)
CRC VERIFIED 5132288/10514736 (1502.5s)
CRC VERIFIED 5136384/10514736 (1503.7s)
CRC VERIFIED 5140480/10514736 (1504.9s)
CRC VERIFIED 5144576/10514736 (1506.1s)
CRC VERIFIED 5148672/10514736 (1507.2s)
CRC VERIFIED 5152768/10514736 (1508.4s)
CRC VERIFIED 5156864/10514736 (1509.6s)
CRC VERIFIED 5160960/10514736 (1510.8s)
CRC VERIFIED 5165056/10514736 (1512.0s)
CRC VERIFIED 5169152/10514736 (1513.2s)
CRC VERIFIED 5173248/10514736 (1514.4s)
CRC VERIFIED 5177344/10514736 (1515.6s)
CRC VERIFIED 5181440/10514736 (1516.8s)
CRC VERIFIED 5185536/10514736 (1518.0s)
CRC VERIFIED 5189632/10514736 (1519.3s)
CRC VERIFIED 5193728/10514736 (1520.4s)
CRC VERIFIED 5197824/10514736 (1521.6s)
CRC VERIFIED 5201920/10514736 (1522.9s)
CRC VERIFIED 5206016/10514736 (1524.1s)
CRC VERIFIED 5210112/10514736 (1525.3s)
CRC VERIFIED 5214208/10514736 (1526.5s)
CRC VERIFIED 5218304/10514736 (1527.7s)
CRC VERIFIED 5222400/10514736 (1528.8s)
CRC VERIFIED 5226496/10514736 (1530.0s)
CRC VERIFIED 5230592/10514736 (1531.2s)
CRC VERIFIED 5234688/10514736 (1532.5s)
CRC VERIFIED 5238784/10514736 (1533.7s)
CRC VERIFIED 5242880/10514736 (1534.9s)
CRC VERIFIED 5246976/10514736 (1536.0s)
CRC VERIFIED 5251072/10514736 (1537.3s)
CRC VERIFIED 5255168/10514736 (1538.5s)
CRC VERIFIED 5259264/10514736 (1539.7s)
CRC VERIFIED 5263360/10514736 (1540.9s)
CRC VERIFIED 5267456/10514736 (1542.1s)
CRC VERIFIED 5271552/10514736 (1543.3s)
CRC VERIFIED 5275648/10514736 (1544.5s)
CRC VERIFIED 5279744/10514736 (1545.7s)
CRC VERIFIED 5283840/10514736 (1546.9s)
CRC VERIFIED 5287936/10514736 (1548.1s)
CRC VERIFIED 5292032/10514736 (1549.3s)
CRC VERIFIED 5296128/10514736 (1550.5s)
CRC VERIFIED 5300224/10514736 (1551.7s)
CRC VERIFIED 5304320/10514736 (1552.8s)
CRC VERIFIED 5308416/10514736 (1554.0s)
CRC VERIFIED 5312512/10514736 (1555.2s)
CRC VERIFIED 5316608/10514736 (1556.4s)
CRC VERIFIED 5320704/10514736 (1557.6s)
CRC VERIFIED 5324800/10514736 (1558.8s)
CRC VERIFIED 5328896/10514736 (1560.0s)
CRC VERIFIED 5332992/10514736 (1561.2s)
CRC VERIFIED 5337088/10514736 (1562.4s)
CRC VERIFIED 5341184/10514736 (1563.7s)
CRC VERIFIED 5345280/10514736 (1564.8s)
CRC VERIFIED 5349376/10514736 (1566.0s)
CRC VERIFIED 5353472/10514736 (1567.2s)
CRC VERIFIED 5357568/10514736 (1568.4s)
CRC VERIFIED 5361664/10514736 (1569.7s)
CRC VERIFIED 5365760/10514736 (1570.9s)
CRC VERIFIED 5369856/10514736 (1572.1s)
CRC VERIFIED 5373952/10514736 (1573.3s)
CRC VERIFIED 5378048/10514736 (1574.5s)
CRC VERIFIED 5382144/10514736 (1575.7s)
CRC VERIFIED 5386240/10514736 (1576.9s)
CRC VERIFIED 5390336/10514736 (1578.1s)
CRC VERIFIED 5394432/10514736 (1579.3s)
CRC VERIFIED 5398528/10514736 (1580.5s)
CRC VERIFIED 5402624/10514736 (1581.7s)
CRC VERIFIED 5406720/10514736 (1582.9s)
CRC VERIFIED 5410816/10514736 (1584.1s)
CRC VERIFIED 5414912/10514736 (1585.3s)
CRC VERIFIED 5419008/10514736 (1586.5s)
CRC VERIFIED 5423104/10514736 (1587.7s)
CRC VERIFIED 5427200/10514736 (1588.9s)
CRC VERIFIED 5431296/10514736 (1590.1s)
CRC VERIFIED 5435392/10514736 (1591.3s)
CRC VERIFIED 5439488/10514736 (1592.5s)
CRC VERIFIED 5443584/10514736 (1593.7s)
CRC VERIFIED 5447680/10514736 (1594.9s)
CRC VERIFIED 5451776/10514736 (1596.2s)
CRC VERIFIED 5455872/10514736 (1597.4s)
CRC VERIFIED 5459968/10514736 (1598.6s)
CRC VERIFIED 5464064/10514736 (1599.8s)
CRC VERIFIED 5468160/10514736 (1601.0s)
CRC VERIFIED 5472256/10514736 (1602.2s)
CRC VERIFIED 5476352/10514736 (1603.4s)
CRC VERIFIED 5480448/10514736 (1604.6s)
CRC VERIFIED 5484544/10514736 (1605.8s)
CRC VERIFIED 5488640/10514736 (1607.0s)
CRC VERIFIED 5492736/10514736 (1608.2s)
CRC VERIFIED 5496832/10514736 (1609.4s)
CRC VERIFIED 5500928/10514736 (1610.6s)
CRC VERIFIED 5505024/10514736 (1611.8s)
CRC VERIFIED 5509120/10514736 (1613.0s)
CRC VERIFIED 5513216/10514736 (1614.2s)
CRC VERIFIED 5517312/10514736 (1615.4s)
CRC VERIFIED 5521408/10514736 (1616.7s)
CRC VERIFIED 5525504/10514736 (1617.9s)
CRC VERIFIED 5529600/10514736 (1619.1s)
CRC VERIFIED 5533696/10514736 (1620.3s)
CRC VERIFIED 5537792/10514736 (1621.5s)
CRC VERIFIED 5541888/10514736 (1622.7s)
CRC VERIFIED 5545984/10514736 (1623.9s)
CRC VERIFIED 5550080/10514736 (1625.1s)
CRC VERIFIED 5554176/10514736 (1626.3s)
CRC VERIFIED 5558272/10514736 (1627.5s)
CRC VERIFIED 5562368/10514736 (1628.7s)
CRC VERIFIED 5566464/10514736 (1629.9s)
CRC VERIFIED 5570560/10514736 (1631.1s)
CRC VERIFIED 5574656/10514736 (1632.3s)
CRC VERIFIED 5578752/10514736 (1633.5s)
CRC VERIFIED 5582848/10514736 (1634.8s)
CRC VERIFIED 5586944/10514736 (1636.0s)
CRC VERIFIED 5591040/10514736 (1637.2s)
CRC VERIFIED 5595136/10514736 (1638.4s)
CRC VERIFIED 5599232/10514736 (1639.6s)
CRC VERIFIED 5603328/10514736 (1640.8s)
CRC VERIFIED 5607424/10514736 (1642.0s)
CRC VERIFIED 5611520/10514736 (1643.2s)
CRC VERIFIED 5615616/10514736 (1644.4s)
CRC VERIFIED 5619712/10514736 (1645.6s)
CRC VERIFIED 5623808/10514736 (1646.8s)
CRC VERIFIED 5627904/10514736 (1648.1s)
CRC VERIFIED 5632000/10514736 (1649.2s)
CRC VERIFIED 5636096/10514736 (1650.5s)
CRC VERIFIED 5640192/10514736 (1651.6s)
CRC VERIFIED 5644288/10514736 (1652.9s)
CRC VERIFIED 5648384/10514736 (1654.1s)
CRC VERIFIED 5652480/10514736 (1655.2s)
CRC VERIFIED 5656576/10514736 (1656.5s)
CRC VERIFIED 5660672/10514736 (1657.7s)
CRC VERIFIED 5664768/10514736 (1658.9s)
CRC VERIFIED 5668864/10514736 (1660.1s)
CRC VERIFIED 5672960/10514736 (1661.3s)
CRC VERIFIED 5677056/10514736 (1662.5s)
CRC VERIFIED 5681152/10514736 (1663.7s)
CRC VERIFIED 5685248/10514736 (1664.9s)
CRC VERIFIED 5689344/10514736 (1666.1s)
CRC VERIFIED 5693440/10514736 (1667.3s)
CRC VERIFIED 5697536/10514736 (1668.5s)
CRC VERIFIED 5701632/10514736 (1669.7s)
CRC VERIFIED 5705728/10514736 (1670.9s)
CRC VERIFIED 5709824/10514736 (1672.2s)
CRC VERIFIED 5713920/10514736 (1673.4s)
CRC VERIFIED 5718016/10514736 (1674.6s)
CRC VERIFIED 5722112/10514736 (1675.8s)
CRC VERIFIED 5726208/10514736 (1677.0s)
CRC VERIFIED 5730304/10514736 (1678.2s)
CRC VERIFIED 5734400/10514736 (1679.4s)
CRC VERIFIED 5738496/10514736 (1680.6s)
CRC VERIFIED 5742592/10514736 (1681.8s)
CRC VERIFIED 5746688/10514736 (1683.0s)
CRC VERIFIED 5750784/10514736 (1684.2s)
CRC VERIFIED 5754880/10514736 (1685.4s)
CRC VERIFIED 5758976/10514736 (1686.6s)
CRC VERIFIED 5763072/10514736 (1687.8s)
CRC VERIFIED 5767168/10514736 (1689.0s)
CRC VERIFIED 5771264/10514736 (1690.2s)
CRC VERIFIED 5775360/10514736 (1691.4s)
CRC VERIFIED 5779456/10514736 (1692.6s)
CRC VERIFIED 5783552/10514736 (1693.8s)
CRC VERIFIED 5787648/10514736 (1695.0s)
CRC VERIFIED 5791744/10514736 (1696.2s)
CRC VERIFIED 5795840/10514736 (1697.4s)
CRC VERIFIED 5799936/10514736 (1698.6s)
CRC VERIFIED 5804032/10514736 (1699.8s)
CRC VERIFIED 5808128/10514736 (1701.0s)
CRC VERIFIED 5812224/10514736 (1702.2s)
CRC VERIFIED 5816320/10514736 (1703.4s)
CRC VERIFIED 5820416/10514736 (1704.6s)
CRC VERIFIED 5824512/10514736 (1705.8s)
CRC VERIFIED 5828608/10514736 (1707.0s)
CRC VERIFIED 5832704/10514736 (1708.2s)
CRC VERIFIED 5836800/10514736 (1709.4s)
CRC VERIFIED 5840896/10514736 (1710.6s)
CRC VERIFIED 5844992/10514736 (1711.8s)
CRC VERIFIED 5849088/10514736 (1713.0s)
CRC VERIFIED 5853184/10514736 (1714.2s)
CRC VERIFIED 5857280/10514736 (1715.3s)
CRC VERIFIED 5861376/10514736 (1716.5s)
CRC VERIFIED 5865472/10514736 (1717.7s)
CRC VERIFIED 5869568/10514736 (1718.9s)
CRC VERIFIED 5873664/10514736 (1720.1s)
CRC VERIFIED 5877760/10514736 (1721.3s)
CRC VERIFIED 5881856/10514736 (1722.5s)
CRC VERIFIED 5885952/10514736 (1723.7s)
CRC VERIFIED 5890048/10514736 (1724.9s)
CRC VERIFIED 5894144/10514736 (1726.1s)
CRC VERIFIED 5898240/10514736 (1727.3s)
CRC VERIFIED 5902336/10514736 (1728.5s)
CRC VERIFIED 5906432/10514736 (1729.7s)
CRC VERIFIED 5910528/10514736 (1730.9s)
CRC VERIFIED 5914624/10514736 (1732.1s)
CRC VERIFIED 5918720/10514736 (1733.3s)
CRC VERIFIED 5922816/10514736 (1734.5s)
CRC VERIFIED 5926912/10514736 (1735.7s)
CRC VERIFIED 5931008/10514736 (1736.9s)
CRC VERIFIED 5935104/10514736 (1738.1s)
CRC VERIFIED 5939200/10514736 (1739.3s)
CRC VERIFIED 5943296/10514736 (1740.5s)
CRC VERIFIED 5947392/10514736 (1741.7s)
CRC VERIFIED 5951488/10514736 (1742.9s)
CRC VERIFIED 5955584/10514736 (1744.1s)
CRC VERIFIED 5959680/10514736 (1745.3s)
CRC VERIFIED 5963776/10514736 (1746.5s)
CRC VERIFIED 5967872/10514736 (1747.7s)
CRC VERIFIED 5971968/10514736 (1748.9s)
CRC VERIFIED 5976064/10514736 (1750.1s)
CRC VERIFIED 5980160/10514736 (1751.3s)
CRC VERIFIED 5984256/10514736 (1752.5s)
CRC VERIFIED 5988352/10514736 (1753.7s)
CRC VERIFIED 5992448/10514736 (1754.9s)
CRC VERIFIED 5996544/10514736 (1756.1s)
CRC VERIFIED 6000640/10514736 (1757.3s)
CRC VERIFIED 6004736/10514736 (1758.5s)
CRC VERIFIED 6008832/10514736 (1759.7s)
CRC VERIFIED 6012928/10514736 (1760.9s)
CRC VERIFIED 6017024/10514736 (1762.1s)
CRC VERIFIED 6021120/10514736 (1763.3s)
CRC VERIFIED 6025216/10514736 (1764.5s)
CRC VERIFIED 6029312/10514736 (1765.8s)
CRC VERIFIED 6033408/10514736 (1766.9s)
CRC VERIFIED 6037504/10514736 (1768.1s)
CRC VERIFIED 6041600/10514736 (1769.3s)
CRC VERIFIED 6045696/10514736 (1770.5s)
CRC VERIFIED 6049792/10514736 (1771.8s)
CRC VERIFIED 6053888/10514736 (1772.9s)
CRC VERIFIED 6057984/10514736 (1774.2s)
CRC VERIFIED 6062080/10514736 (1775.4s)
CRC VERIFIED 6066176/10514736 (1776.5s)
CRC VERIFIED 6070272/10514736 (1777.8s)
CRC VERIFIED 6074368/10514736 (1779.0s)
CRC VERIFIED 6078464/10514736 (1780.1s)
CRC VERIFIED 6082560/10514736 (1781.3s)
CRC VERIFIED 6086656/10514736 (1782.6s)
CRC VERIFIED 6090752/10514736 (1783.7s)
CRC VERIFIED 6094848/10514736 (1784.9s)
CRC VERIFIED 6098944/10514736 (1786.1s)
CRC VERIFIED 6103040/10514736 (1787.3s)
CRC VERIFIED 6107136/10514736 (1788.5s)
CRC VERIFIED 6111232/10514736 (1789.7s)
CRC VERIFIED 6115328/10514736 (1790.9s)
CRC VERIFIED 6119424/10514736 (1792.1s)
CRC VERIFIED 6123520/10514736 (1793.3s)
CRC VERIFIED 6127616/10514736 (1794.5s)
CRC VERIFIED 6131712/10514736 (1795.7s)
CRC VERIFIED 6135808/10514736 (1796.9s)
CRC VERIFIED 6139904/10514736 (1798.1s)
CRC VERIFIED 6144000/10514736 (1799.4s)
CRC VERIFIED 6148096/10514736 (1800.5s)
CRC VERIFIED 6152192/10514736 (1801.8s)
CRC VERIFIED 6156288/10514736 (1803.0s)
CRC VERIFIED 6160384/10514736 (1804.2s)
CRC VERIFIED 6164480/10514736 (1805.4s)
CRC VERIFIED 6168576/10514736 (1806.6s)
CRC VERIFIED 6172672/10514736 (1807.8s)
CRC VERIFIED 6176768/10514736 (1809.0s)
CRC VERIFIED 6180864/10514736 (1810.0s)
CRC VERIFIED 6184960/10514736 (1811.2s)
CRC VERIFIED 6189056/10514736 (1812.4s)
CRC VERIFIED 6193152/10514736 (1813.6s)
CRC VERIFIED 6197248/10514736 (1814.8s)
CRC VERIFIED 6201344/10514736 (1816.0s)
CRC VERIFIED 6205440/10514736 (1817.2s)
CRC VERIFIED 6209536/10514736 (1818.4s)
CRC VERIFIED 6213632/10514736 (1819.7s)
CRC VERIFIED 6217728/10514736 (1820.8s)
CRC VERIFIED 6221824/10514736 (1822.0s)
CRC VERIFIED 6225920/10514736 (1823.2s)
CRC VERIFIED 6230016/10514736 (1824.5s)
CRC VERIFIED 6234112/10514736 (1825.7s)
CRC VERIFIED 6238208/10514736 (1826.9s)
CRC VERIFIED 6242304/10514736 (1828.1s)
CRC VERIFIED 6246400/10514736 (1829.3s)
CRC VERIFIED 6250496/10514736 (1830.5s)
CRC VERIFIED 6254592/10514736 (1831.6s)
CRC VERIFIED 6258688/10514736 (1832.9s)
CRC VERIFIED 6262784/10514736 (1834.0s)
CRC VERIFIED 6266880/10514736 (1835.2s)
CRC VERIFIED 6270976/10514736 (1836.4s)
CRC VERIFIED 6275072/10514736 (1837.7s)
CRC VERIFIED 6279168/10514736 (1838.9s)
CRC VERIFIED 6283264/10514736 (1840.1s)
CRC VERIFIED 6287360/10514736 (1841.3s)
CRC VERIFIED 6291456/10514736 (1842.5s)
CRC VERIFIED 6295552/10514736 (1843.7s)
CRC VERIFIED 6299648/10514736 (1844.9s)
CRC VERIFIED 6303744/10514736 (1846.1s)
CRC VERIFIED 6307840/10514736 (1847.3s)
CRC VERIFIED 6311936/10514736 (1848.5s)
CRC VERIFIED 6316032/10514736 (1849.7s)
CRC VERIFIED 6320128/10514736 (1850.8s)
CRC VERIFIED 6324224/10514736 (1852.0s)
CRC VERIFIED 6328320/10514736 (1853.2s)
CRC VERIFIED 6332416/10514736 (1854.4s)
CRC VERIFIED 6336512/10514736 (1855.6s)
CRC VERIFIED 6340608/10514736 (1856.8s)
CRC VERIFIED 6344704/10514736 (1858.0s)
CRC VERIFIED 6348800/10514736 (1859.2s)
CRC VERIFIED 6352896/10514736 (1860.4s)
CRC VERIFIED 6356992/10514736 (1861.6s)
CRC VERIFIED 6361088/10514736 (1862.8s)
CRC VERIFIED 6365184/10514736 (1864.0s)
CRC VERIFIED 6369280/10514736 (1865.2s)
CRC VERIFIED 6373376/10514736 (1866.4s)
CRC VERIFIED 6377472/10514736 (1867.6s)
CRC VERIFIED 6381568/10514736 (1868.8s)
CRC VERIFIED 6385664/10514736 (1870.0s)
CRC VERIFIED 6389760/10514736 (1871.2s)
CRC VERIFIED 6393856/10514736 (1872.4s)
CRC VERIFIED 6397952/10514736 (1873.5s)
CRC VERIFIED 6402048/10514736 (1874.7s)
CRC VERIFIED 6406144/10514736 (1875.9s)
CRC VERIFIED 6410240/10514736 (1877.1s)
CRC VERIFIED 6414336/10514736 (1878.3s)
CRC VERIFIED 6418432/10514736 (1879.5s)
CRC VERIFIED 6422528/10514736 (1880.7s)
CRC VERIFIED 6426624/10514736 (1881.9s)
CRC VERIFIED 6430720/10514736 (1883.1s)
CRC VERIFIED 6434816/10514736 (1884.3s)
CRC VERIFIED 6438912/10514736 (1885.5s)
CRC VERIFIED 6443008/10514736 (1886.7s)
CRC VERIFIED 6447104/10514736 (1887.9s)
CRC VERIFIED 6451200/10514736 (1889.1s)
CRC VERIFIED 6455296/10514736 (1890.3s)
CRC VERIFIED 6459392/10514736 (1891.5s)
CRC VERIFIED 6463488/10514736 (1892.7s)
CRC VERIFIED 6467584/10514736 (1893.9s)
CRC VERIFIED 6471680/10514736 (1895.1s)
CRC VERIFIED 6475776/10514736 (1896.3s)
CRC VERIFIED 6479872/10514736 (1897.5s)
CRC VERIFIED 6483968/10514736 (1898.7s)
CRC VERIFIED 6488064/10514736 (1900.0s)
CRC VERIFIED 6492160/10514736 (1901.1s)
CRC VERIFIED 6496256/10514736 (1902.3s)
CRC VERIFIED 6500352/10514736 (1903.5s)
CRC VERIFIED 6504448/10514736 (1904.8s)
CRC VERIFIED 6508544/10514736 (1906.0s)
CRC VERIFIED 6512640/10514736 (1907.2s)
CRC VERIFIED 6516736/10514736 (1908.4s)
CRC VERIFIED 6520832/10514736 (1909.6s)
CRC VERIFIED 6524928/10514736 (1910.8s)
CRC VERIFIED 6529024/10514736 (1912.0s)
CRC VERIFIED 6533120/10514736 (1913.2s)
CRC VERIFIED 6537216/10514736 (1914.4s)
CRC VERIFIED 6541312/10514736 (1915.6s)
CRC VERIFIED 6545408/10514736 (1916.8s)
CRC VERIFIED 6549504/10514736 (1918.0s)
CRC VERIFIED 6553600/10514736 (1919.2s)
CRC VERIFIED 6557696/10514736 (1920.5s)
CRC VERIFIED 6561792/10514736 (1921.7s)
CRC VERIFIED 6565888/10514736 (1922.8s)
CRC VERIFIED 6569984/10514736 (1924.0s)
CRC VERIFIED 6574080/10514736 (1925.2s)
CRC VERIFIED 6578176/10514736 (1926.4s)
CRC VERIFIED 6582272/10514736 (1927.6s)
CRC VERIFIED 6586368/10514736 (1928.8s)
CRC VERIFIED 6590464/10514736 (1930.1s)
CRC VERIFIED 6594560/10514736 (1931.3s)
CRC VERIFIED 6598656/10514736 (1932.5s)
CRC VERIFIED 6602752/10514736 (1933.7s)
CRC VERIFIED 6606848/10514736 (1934.9s)
CRC VERIFIED 6610944/10514736 (1936.1s)
CRC VERIFIED 6615040/10514736 (1937.3s)
CRC VERIFIED 6619136/10514736 (1938.5s)
CRC VERIFIED 6623232/10514736 (1939.7s)
CRC VERIFIED 6627328/10514736 (1940.9s)
CRC VERIFIED 6631424/10514736 (1942.1s)
CRC VERIFIED 6635520/10514736 (1943.3s)
CRC VERIFIED 6639616/10514736 (1944.5s)
CRC VERIFIED 6643712/10514736 (1945.7s)
CRC VERIFIED 6647808/10514736 (1946.9s)
CRC VERIFIED 6651904/10514736 (1948.1s)
CRC VERIFIED 6656000/10514736 (1949.3s)
CRC VERIFIED 6660096/10514736 (1950.5s)
CRC VERIFIED 6664192/10514736 (1951.8s)
CRC VERIFIED 6668288/10514736 (1953.0s)
CRC VERIFIED 6672384/10514736 (1954.2s)
CRC VERIFIED 6676480/10514736 (1955.3s)
CRC VERIFIED 6680576/10514736 (1956.5s)
CRC VERIFIED 6684672/10514736 (1957.8s)
CRC VERIFIED 6688768/10514736 (1958.9s)
CRC VERIFIED 6692864/10514736 (1960.1s)
CRC VERIFIED 6696960/10514736 (1961.3s)
CRC VERIFIED 6701056/10514736 (1962.5s)
CRC VERIFIED 6705152/10514736 (1963.8s)
CRC VERIFIED 6709248/10514736 (1965.0s)
CRC VERIFIED 6713344/10514736 (1966.1s)
CRC VERIFIED 6717440/10514736 (1967.3s)
CRC VERIFIED 6721536/10514736 (1968.5s)
CRC VERIFIED 6725632/10514736 (1969.7s)
CRC VERIFIED 6729728/10514736 (1970.9s)
CRC VERIFIED 6733824/10514736 (1972.1s)
CRC VERIFIED 6737920/10514736 (1973.3s)
CRC VERIFIED 6742016/10514736 (1974.5s)
